iata,name,city,country,lat,lon
MGH,Margate Airport,Margate,ZA,-30.8574008942,30.343000412
MGM,Montgomery Regional (Dannelly Field) Airport,Montgomery,US,32.300598,-86.393997
MGQ,Aden Adde International Airport,Mogadishu,SO,2.01444,45.304699
MGT,Milingimbi Airport,Milingimbi Island,AU,-12.0944004059,134.893997192
MGW,Morgantown Municipal Airport Walter L. (Bill) Hart Field,Morgantown,US,39.643305,-79.917598
MGZ,Myeik Airport,Mkeik,MM,12.439800262451172,98.62149810791016
MHC,Mocopulli Airport,Dalcahue,CL,-42.340388,-73.715693
MHD,Mashhad International Airport,Mashhad,IR,36.234821,59.642949
MHG,Mannheim-City Airport,Mannheim,DE,49.473057,8.514167
MHH,Leonard M. Thompson International Airport,Marsh Harbour,BS,26.510711,-77.084262
MHK,Manhattan Regional Airport,Manhattan,US,39.14099884033203,-96.6707992553711
MHM,Manaoba Airport,Manaoba,SB,-8.325008,160.80051
MHQ,Mariehamn Airport,Mariehamn,FI,60.1222,19.898199
MHT,Manchester-Boston Regional Airport,Manchester,US,42.932598,-71.435699
MHU,Mount Hotham Airport,Mount Hotham,AU,-37.0475006104,147.333999634
MHX,Manihiki Island Airport,Manihiki Island,CK,-10.3767,-161.001999
MIA,Miami International Airport,Miami,US,25.7932,-80.290604
MID,Manuel Crescencio Rejón International Airport,Mérida,MX,20.930485,-89.645462
MIG,Mianyang Nanjiao Airport,Mianyang (Fucheng),CN,31.428101,104.740997
MII,Frank Miloye Milenkowichi–Marília State Airport,Marília,BR,-22.196899,-49.926485
MIJ,Mili Island Airport,Mili Island,MH,6.084754,171.731419
MIM,Merimbula Airport,Merimbula,AU,-36.9085998535,149.901000977
MIR,Monastir Habib Bourguiba International Airport,Monastir,TN,35.75809860229492,10.75469970703125
MIS,Misima Island Airport,Misima Island,PG,-10.6892004013,152.837997437
MIU,Maiduguri International Airport,Maiduguri,NG,11.854163,13.080702
MJE,Majkin Airport,Majkin,MH,8.163362,168.173862
MJF,"Mosjøen Airport, Kjærstad",Mosjøen,NO,65.783997,13.2149
MJI,Mitiga International Airport,Tripoli,LY,32.89177,13.287878
MJK,Shark Bay Airport,Denham,AU,-25.897294,113.575802
MJM,Mbuji Mayi Airport,Mbuji Mayi,CD,-6.121240139010001,23.569000244099996
MJN,Amborovy Airport,Mahajanga,MG,-15.666842,46.351233
MJT,Mytilene International Airport,Mytilene,GR,39.057406,26.598629
MJY,Motygino Airport,Motygino,RU,58.180921,94.745272
MJZ,Mirny Airport,Mirny,RU,62.534698486328125,114.03900146484376
